DATE1, DATE2, X, Y, Z,
2447763.708333333, A.D. 1989-Aug-25 05:00:00.0000,  2.148161449416692E+04, -7.829620681322520E+04, -2.861894988769181E+04,
2447763.750000000, A.D. 1989-Aug-25 06:00:00.0000,  1.998190858213294E+04, -1.308391173318139E+05, -7.746168286167843E+04,
2447763.791666667, A.D. 1989-Aug-25 07:00:00.0000,  1.786383902462868E+04, -1.797781759798924E+05, -1.242966010199967E+05,
2447763.833333333, A.D. 1989-Aug-25 08:00:00.0000,  1.557804298469524E+04, -2.271283922293678E+05, -1.700518666524403E+05,
2447763.875000000, A.D. 1989-Aug-25 09:00:00.0000,  1.322804024024321E+04, -2.735765596695940E+05, -2.151392877746462E+05,
2447763.916666667, A.D. 1989-Aug-25 10:00:00.0000,  1.084839237204614E+04, -3.194355667256765E+05, -2.597749455332349E+05,
2447763.958333333, A.D. 1989-Aug-25 11:00:00.0000,  8.453537794755492E+03, -3.648797989402045E+05, -3.040779401948925E+05,
2447764.000000000, A.D. 1989-Aug-25 12:00:00.0000,  6.051171905051025E+03, -4.100185884379674E+05, -3.481270824154639E+05,
2447764.041666667, A.D. 1989-Aug-25 13:00:00.0000,  3.645129178623857E+03, -4.549219348271335E+05, -3.919765530011647E+05,
2447764.083333333, A.D. 1989-Aug-25 14:00:00.0000,  1.237474067315138E+03, -4.996379341923913E+05, -4.356647096381012E+05,
2447764.125000000, A.D. 1989-Aug-25 15:00:00.0000, -1.170626658736582E+03, -5.442011852760438E+05, -4.792197366783502E+05,
2447764.166666667, A.D. 1989-Aug-25 16:00:00.0000, -3.578497571252088E+03, -5.886374441898676E+05, -5.226629714879204E+05,
2447764.208333333, A.D. 1989-Aug-25 17:00:00.0000, -5.985745518321438E+03, -6.329664168686618E+05, -5.660109673171063E+05,
2447764.250000000, A.D. 1989-Aug-25 18:00:00.0000, -8.392145198412729E+03, -6.772035248156337E+05, -6.092768305905333E+05,
2447764.291666667, A.D. 1989-Aug-25 19:00:00.0000, -1.079757362017484E+04, -7.213610682087289E+05, -6.524711198405904E+05,
2447764.333333333, A.D. 1989-Aug-25 20:00:00.0000, -1.320197120378824E+04, -7.654490182002507E+05, -6.956024686056274E+05,
2447764.375000000, A.D. 1989-Aug-25 21:00:00.0000, -1.560531802837110E+04, -8.094755721290368E+05, -7.386780283790318E+05,
2447764.416666667, A.D. 1989-Aug-25 22:00:00.0000, -1.800761899379568E+04, -8.534475521621868E+05, -7.817037907272134E+05,
2447764.458333333, A.D. 1989-Aug-25 23:00:00.0000, -2.040889438300269E+04, -8.973706976293483E+05, -8.246848261693247E+05,
2447764.500000000, A.D. 1989-Aug-26 00:00:00.0000, -2.280917377681331E+04, -9.412498834109654E+05, -8.676254644141834E+05,
