DATE1, DATE2, X, Y, Z,
2456381.333333333, A.D. 2013-Mar-29 20:00:00.0000, -2.670071023283285E+05,  2.906395282340124E+04,  2.316519301526661E+05,
2456381.375000000, A.D. 2013-Mar-29 21:00:00.0000, -2.597643132798356E+05,  4.164705563619797E+04,  2.378825306945797E+05,
2456381.416666667, A.D. 2013-Mar-29 22:00:00.0000, -2.520061079527530E+05,  5.414752634253020E+04,  2.436411194229290E+05,
2456381.458333333, A.D. 2013-Mar-29 23:00:00.0000, -2.437478803431906E+05,  6.654056187262222E+04,  2.489162700284713E+05,
2456381.500000000, A.D. 2013-Mar-30 00:00:00.0000, -2.350060165747507E+05,  7.880157233794247E+04,  2.536975154662436E+05,
2456381.541666667, A.D. 2013-Mar-30 01:00:00.0000, -2.257978623812433E+05,  9.090622982222604E+04,  2.579753687221363E+05,
2456381.583333333, A.D. 2013-Mar-30 02:00:00.0000, -2.161416886856809E+05,  1.028305166521948E+05,  2.617413416346189E+05,
2456381.625000000, A.D. 2013-Mar-30 03:00:00.0000, -2.060566553439070E+05,  1.145507730522255E+05,  2.649879617343400E+05,
2456381.666666667, A.D. 2013-Mar-30 04:00:00.0000, -1.955627731248488E+05,  1.260437440884436E+05,  2.677087870682575E+05,
2456381.708333333, A.D. 2013-Mar-30 05:00:00.0000, -1.846808640028706E+05,  1.372866258091444E+05,  2.698984189789556E+05,
2456381.750000000, A.D. 2013-Mar-30 06:00:00.0000, -1.734325198410443E+05,  1.482571104900399E+05,  2.715525128138611E+05,
2456381.791666667, A.D. 2013-Mar-30 07:00:00.0000, -1.618400595473357E+05,  1.589334308946134E+05,  2.726677865431751E+05,
2456381.833333333, A.D. 2013-Mar-30 08:00:00.0000, -1.499264847887238E+05,  1.692944034618251E+05,  2.732420272694839E+05,
2456381.875000000, A.D. 2013-Mar-30 09:00:00.0000, -1.377154343511210E+05,  1.793194703355403E+05,  2.732740956161898E+05,
2456381.916666667, A.D. 2013-Mar-30 10:00:00.0000, -1.252311372356423E+05,  1.889887401523507E+05,  2.727639279861061E+05,
2456381.958333333, A.D. 2013-Mar-30 11:00:00.0000, -1.124983645842633E+05,  1.982830275069296E+05,  2.717125366857794E+05,
2456382.000000000, A.D. 2013-Mar-30 12:00:00.0000, -9.954238053022797E+04,  2.071838910166751E+05,  2.701220079153299E+05,
2456382.041666667, A.D. 2013-Mar-30 13:00:00.0000, -8.638889207068748E+04,  2.156736699101820E+05,  2.679954976278276E+05,
2456382.083333333, A.D. 2013-Mar-30 14:00:00.0000, -7.306399806098398E+04,  2.237355190670011E+05,  2.653372252664390E+05,
2456382.125000000, A.D. 2013-Mar-30 15:00:00.0000, -5.959413743172944E+04,  2.313534424392214E+05,  2.621524653917825E+05,
2456382.166666667, A.D. 2013-Mar-30 16:00:00.0000, -4.600603673136287E+04,  2.385123247886086E+05,  2.584475372161056E+05,
2456382.208333333, A.D. 2013-Mar-30 17:00:00.0000, -3.232665709819495E+04,  2.451979616763836E+05,  2.542297920650396E+05,
2456382.250000000, A.D. 2013-Mar-30 18:00:00.0000, -1.858314076707078E+04,  2.513970876461783E+05,  2.495075987917878E+05,
2456382.291666667, A.D. 2013-Mar-30 19:00:00.0000, -4.802757216687683E+03,  2.570974025442994E+05,  2.442903271726542E+05,
2456382.333333333, A.D. 2013-Mar-30 20:00:00.0000,  8.987150935705979E+03,  2.622875959251233E+05,  2.385883293168067E+05,
2456382.375000000, A.D. 2013-Mar-30 21:00:00.0000,  2.275922218503302E+04,  2.669573694932546E+05,  2.324129191270957E+05,
2456382.416666667, A.D. 2013-Mar-30 22:00:00.0000,  3.648613042708454E+04,  2.710974575379835E+05,  2.257763498525916E+05,
2456382.458333333, A.D. 2013-Mar-30 23:00:00.0000,  5.014063917772745E+04,  2.746996453195795E+05,  2.186917897772660E+05,
2456382.500000000, A.D. 2013-Mar-31 00:00:00.0000,  6.369565561536700E+04,  2.777567853710479E+05,  2.111732960929052E+05,
2456382.541666667, A.D. 2013-Mar-31 01:00:00.0000,  7.712428433369209E+04,  2.802628116813373E+05,  2.032357870109405E+05,
2456382.583333333, A.D. 2013-Mar-31 02:00:00.0000,  9.039988069649330E+04,  2.822127517244154E+05,  1.948950121627538E+05,
2456382.625000000, A.D. 2013-Mar-31 03:00:00.0000,  1.034961037167119E+05,  2.836027363355289E+05,  1.861675213493047E+05,
2456382.666666667, A.D. 2013-Mar-31 04:00:00.0000,  1.163869683220978E+05,  2.844300073931935E+05,  1.770706317066711E+05,
2456382.708333333, A.D. 2013-Mar-31 05:00:00.0000,  1.290468969135514E+05,  2.846929232930092E+05,  1.676223933464149E+05,
2456382.750000000, A.D. 2013-Mar-31 06:00:00.0000,  1.414507701159022E+05,  2.843909622068211E+05,  1.578415535414808E+05,
2456382.791666667, A.D. 2013-Mar-31 07:00:00.0000,  1.535739766202375E+05,  2.835247231204752E+05,  1.477475195285698E+05,
2456382.833333333, A.D. 2013-Mar-31 08:00:00.0000,  1.653924620187372E+05,  2.820959246478873E+05,  1.373603200007003E+05,
2456382.875000000, A.D. 2013-Mar-31 09:00:00.0000,  1.768827765349902E+05,  2.801074016236027E+05,  1.267005653662983E+05,
2456382.916666667, A.D. 2013-Mar-31 10:00:00.0000,  1.880221215549835E+05,  2.775630994804695E+05,  1.157894068536244E+05,
2456382.958333333, A.D. 2013-Mar-31 11:00:00.0000,  1.987883948663415E+05,  2.744680664234723E+05,  1.046484945416519E+05,
2456383.000000000, A.D. 2013-Mar-31 12:00:00.0000,  2.091602345159696E+05,  2.708284434151640E+05,  9.329993440065676E+04,
2456383.041666667, A.D. 2013-Mar-31 13:00:00.0000,  2.191170611989936E+05,  2.666514519924982E+05,  8.176624442776051E+04,
2456383.083333333, A.D. 2013-Mar-31 14:00:00.0000,  2.286391190948118E+05,  2.619453799391780E+05,  7.007030996446923E+04,
2456383.125000000, A.D. 2013-Mar-31 15:00:00.0000,  2.377075150691511E+05,  2.567195648419062E+05,  5.823533828489276E+04,
2456383.166666667, A.D. 2013-Mar-31 16:00:00.0000,  2.463042561642643E+05,  2.509843755631319E+05,  4.628481254478080E+04,
2456383.208333333, A.D. 2013-Mar-31 17:00:00.0000,  2.544122853028034E+05,  2.447511916670320E+05,  3.424244518279218E+04,
2456383.250000000, A.D. 2013-Mar-31 18:00:00.0000,  2.620155151344482E+05,  2.380323808395386E+05,  2.213213086650896E+04,
2456383.291666667, A.D. 2013-Mar-31 19:00:00.0000,  2.690988599580553E+05,  2.308412743472129E+05,  9.977899076618671E+03,
2456383.333333333, A.D. 2013-Mar-31 20:00:00.0000,  2.756482656559202E+05,  2.231921405836682E+05, -2.196133576588643E+03,
2456383.375000000, A.D. 2013-Mar-31 21:00:00.0000,  2.816507375806862E+05,  2.151001567560494E+05, -1.436581120972304E+04,
2456383.416666667, A.D. 2013-Mar-31 22:00:00.0000,  2.870943663395106E+05,  2.065813787677769E+05, -2.650698660076376E+04,
2456383.458333333, A.D. 2013-Mar-31 23:00:00.0000,  2.919683514242729E+05,  1.976527093573529E+05, -3.859556910630485E+04,
2456383.500000000, A.D. 2013-Apr-01 00:00:00.0000,  2.962630226408961E+05,  1.883318645564953E+05, -5.060757246641794E+04,
2456383.541666667, A.D. 2013-Apr-01 01:00:00.0000,  2.999698592952281E+05,  1.786373385342133E+05, -6.251916240219443E+04,
2456383.583333333, A.D. 2013-Apr-01 02:00:00.0000,  3.030815070973926E+05,  1.685883668966448E+05, -7.430670391144433E+04,
2456383.625000000, A.D. 2013-Apr-01 03:00:00.0000,  3.055917927510605E+05,  1.582048885155500E+05, -8.594680816862654E+04,
2456383.666666667, A.D. 2013-Apr-01 04:00:00.0000,  3.074957361986952E+05,  1.475075059612824E+05, -9.741637893587744E+04,
2456383.708333333, A.D. 2013-Apr-01 05:00:00.0000,  3.087895604984944E+05,  1.365174446188290E+05, -1.086926583929782E+05,
2456383.750000000, A.D. 2013-Apr-01 06:00:00.0000,  3.094706993134579E+05,  1.252565105681334E+05, -1.197532722952607E+05,
2456383.791666667, A.D. 2013-Apr-01 07:00:00.0000,  3.095378019977674E+05,  1.137470473123636E+05, -1.305762743697957E+05,
2456383.833333333, A.D. 2013-Apr-01 08:00:00.0000,  3.089907362704386E+05,  1.020118914400783E+05, -1.411401898617234E+05,
2456383.875000000, A.D. 2013-Apr-01 09:00:00.0000,  3.078305884710115E+05,  9.007432730935719E+04, -1.514240581442864E+05,
2456383.916666667, A.D. 2013-Apr-01 10:00:00.0000,  3.060596613968469E+05,  7.795804084389767E+04, -1.614074743079937E+05,
2456383.958333333, A.D. 2013-Apr-01 11:00:00.0000,  3.036814697264106E+05,  6.568707253284029E+04, -1.710706296463776E+05,
2456384.000000000, A.D. 2013-Apr-01 12:00:00.0000,  3.007007330377226E+05,  5.328576972765774E+04, -1.803943509580131E+05,
2456384.041666667, A.D. 2013-Apr-01 13:00:00.0000,  2.971233664359273E+05,  4.077873833083005E+04, -1.893601385868257E+05,
2456384.083333333, A.D. 2013-Apr-01 14:00:00.0000,  2.929564688086913E+05,  2.819079397222595E+04, -1.979502031252313E+05,
2456384.125000000, A.D. 2013-Apr-01 15:00:00.0000,  2.882083087328441E+05,  1.554691277011712E+04, -2.061475007073179E+05,
